[1.14-13.82] 维维维能听到吗,同学们,电脑的桌面能看到吗,电脑的桌面可以看到吗?
[3959.98-3963.66] 李林酸铁礼和三元啊
[3963.66-3965.30] 这个三元
[3965.34-3967.38] 三元李电池的啊
[3967.38-3970.10] 这个事情对于他接下来的啊
[3970.10-3973.54] 三级报和年报有非常大的刺激效果
[3973.54-3974.14] 同时间呢
[3974.14-3975.34] 我们去查了一下
[3975.34-3977.70] 目前市面上最贵的啊
[3977.70-3980.02] 应该叫六福林酸铁啊
[3980.02-3981.18] 六福林酸铁
[3981.18-3983.10] 还好我们没有买它
[3983.10-3984.42] 如果买它的话呢
[3984.42-3986.86] 可能会遭遇跌停板啊
[3986.86-3991.06] 因为今天很很多高位的李电池都跌停了
[3991.06-3993.06] 高位的李电池都跌停了
[3993.06-3994.30] 因为只有他这类的
[3994.30-3996.62] 因为它是粘了一个梅化工
[3996.62-3997.90] 粘了一个梅化工
[3997.90-3999.66] 还粘了这个边
[3999.66-4001.54] 粘了这个边
[4001.54-4002.54] 所以说呢
[4002.54-4005.86] 这个里边有助于它在三级报当中啊
[4005.86-4008.02] 和四级报当中啊
[4008.02-4009.22] 有很大的优势
[4009.22-4009.94] 同时间呢
[4009.94-4011.34] 我们再往下看啊
[4011.34-4014.18] 这里面它生产什么叫POE
[4014.18-4018.58] POE什么叫巨蜥清坛
[4018.58-4022.02] 巨蜥清坛性体
[4022.02-4024.18] 这个巨蜥清坛性体是干嘛的呢
[4024.18-4027.94] 它能用我们的电子汽车机械
[4027.94-4029.94] 还有光幅组件
[4029.94-4033.30] 都需要用到这个巨蜥清坛性体啊
[4033.30-4036.18] 这是市面上也在涨价的一个东西
[4036.18-4039.90] 因为六福林酸礼现在已经达到了四十五万
[4041.30-4043.18] 四十五万每吨
[4043.18-4047.26] 而林酸铁礼现在是市面的价格
[4047.26-4051.54] 应该是在四万到六万之间
[4051.54-4052.90] 现在还在进行涨价
[4054.58-4055.94] 现在还在进行涨价
[4057.30-4057.94] 所以说呢
[4059.74-4062.70] 所以说很多人都炸饭炸饱
[4062.70-4064.78] 对很多都炸饱
[4064.78-4068.02] 所以说咱们没有看那些六福林酸礼等等的
[4068.02-4071.02] 我给大家精选的是万华化学
[4071.02-4072.98] 精选的是万华化学
[4072.98-4075.22] 万华化学它是有这方面的业务
[4075.22-4077.50] 所以说不仅是从光幅的角度去说
[4077.50-4079.58] 它还会用到它的POE
[4079.58-4080.82] 它的POE产品
[4080.82-4082.98] POE就是我们所说的
[4082.98-4085.70] 聚极清弹性体
[4085.70-4087.70] 这个聚极清弹性体它是一种什么呢
[4088.82-4092.50] 橡胶也是一种这个塑料的这个合成体
[4092.50-4094.66] 它能应用在我们的光幅的领域
[4094.66-4097.74] 也能应用在我们的新能源汽车等等的
[4097.74-4100.90] 所以说从新能源汽车的普及
[4100.90-4105.30] 再到我们光幅的装机量的普及
[4105.30-4110.14] 所以说这个材料这种材质也是供不应求
[4110.14-4111.42] 也是供不应求
[4111.46-4112.66] 同时间呢
[4112.66-4113.98] 我们也看到了
[4113.98-4114.62] 也看到了
[4114.62-4120.22] 如果说它这个POE本来在国外的时候
[4120.22-4123.14] 是在国外形象
[4123.14-4126.30] 兼项技术这么多年并没有突破
[4126.30-4127.50] 这么多年都没有突破
[4127.50-4131.38] 所以说目前该产品主要能够
[4131.38-4135.06] 掌控在陶氏等国外的企业当中
[4135.06-4138.18] 因为陶氏集团是国外的这个集团
[4138.18-4140.10] 并没有在咱们国内
[4140.10-4143.94] 所以说公司依靠自身强大的研发能力
[4143.94-4147.46] 突破了POE产品的技术壁垒
[4147.46-4149.86] 你想我买东西一般情况下都是说
[4149.86-4153.46] 它的产品必须能突破技术壁垒
[4153.46-4155.10] 能突破技术壁垒
[4155.10-4157.22] 它才会有换语权
[4157.22-4158.50] 它才会有换语权
[4158.50-4161.02] 所以说它的产品突破了技术壁垒
[4161.02-4164.34] 而且突破了技术壁垒
[4164.34-4170.06] 而且有望成为国产POE行业的领头羊
[4170.90-4175.14] 所以说这个事件我觉得是对于接下来
[4175.14-4178.86] 它从技术角度来说
[4178.86-4180.10] 它现在技术角度是什么
[4180.10-4181.90] 是一个上行局势
[4181.90-4186.14] 年限大家看一下是一直往上走的吗
[4186.14-4186.82] 如果是
[4186.82-4187.90] 给我回答一个是
[4187.90-4203.67] 看一看你们现在的位置
[4203.67-4205.39] 年限是往上走的吗
[4205.39-4206.71] 是大区是往上走
[4206.71-4207.79] 大周期往上走
[4207.79-4217.73] 对吧
[4217.73-4218.17] 是吧
[4220.13-4222.17] 对大周期是往上走的
[4222.21-4223.49] 没任何问题
[4223.49-4225.45] 就是这个黄色的线
[4225.45-4228.77] 年限就是这个黄色250年线
[4228.77-4232.17] 一直从我们的前五年
[4232.17-4234.57] 就一直一路往上走
[4234.57-4238.21] 前五年三年四年都往上走
[4238.21-4239.73] 这个黄色线啊
[4239.73-4241.61] 一直支撑的往上走
[4241.61-4245.05] 这是它这个个股的技术店的大的周期
[4245.05-4246.17] 上面有套牢盘
[4246.17-4248.41] 对有套牢盘也没事
[4248.41-4249.45] 也没事
[4249.49-4252.57] 因为它是一家很好的企业
[4252.57-4253.61] 即便有套牢盘
[4253.61-4255.13] 它在这位是盘不盘吧
[4255.13-4257.49] 也能可长可短的去对待
[4257.49-4260.61] 原则上只不应该套住我们的
[4260.61-4263.21] 原则上是不应该给人吃套的
[4263.21-4264.73] 我是这么去认为的
[4264.73-4267.05] 但是万物都有不确定性
[4267.05-4268.45] 我也做不到绝对
[4268.45-4269.93] 所以大家多多的包含
[4269.93-4271.93] 我是喜欢它而已
[4271.93-4273.13] 我是喜欢它而已
[4273.13-4276.25] 所以说我分享一下它
[4276.25-4278.17] 我分享一下它
[4278.17-4282.20] 我是喜欢它而已
[4282.20-4285.36] 红领金被进入到直播间
[4285.36-4289.64] 穆斯进入到直播间
[4289.64-4304.04] 对这个能这个能明白了吗
[4304.04-4304.84] 这个能明白了吧
[4304.84-4307.44] 而且它目前的这个位置
[4307.44-4308.52] 我们去看一下
[4308.52-4310.64] 目前的这个黄线是什么
[4310.64-4312.28] 线是250年线
[4312.28-4312.88] 这都谁呀
[4312.88-4313.36] 这么多人
[4313.36-4313.68] 哇塞
[4313.68-4315.80] 250 351了
[4315.80-4319.46] 牛啊
[4319.46-4320.38] 我们现在看一下
[4320.38-4323.06] 年线这个位置的支撑情况
[4323.06-4325.94] 已经是近一个月的时间
[4325.94-4328.30] 8月16号左右吧
[4328.30-4329.98] 打底反弹
[4329.98-4331.98] 然后来回的去震荡
[4331.98-4333.86] 这个位置有望形成一种
[4333.86-4337.78] 年线上方的支撑做一次突破
[4337.78-4341.10] 年线上方做一次突破
[4341.10-4343.46] 而且
[4343.46-4346.74] 那你能看到美知古的世界
[4346.74-4347.22] 哪里呢
[4347.22-4349.46] 就是刚才看到这个消息的事件
[4349.46-4350.62] 刚才讲到这了
[4350.62-4352.74] 都十点多了
[4352.90-4354.62] 给大家没有讲完
[4354.62-4355.14] 没有讲完
[4355.14-4356.90] 我们下次再讲也行
[4356.90-4358.78] 啊
[4358.78-4360.54] 快速阅读政策面
[4360.54-4361.34] 行业面
[4361.34-4362.38] 公司等等的
[4362.38-4363.82] 你们点开你们软件
[4363.82-4365.58] 我这是东方财富啊
[4365.58-4368.78] 不是小造的自自觉的退出去
[4368.78-4368.94] 对
[4368.94-4370.62] 我不知道怎么来了这么多人一下子
[4370.62-4371.98] 原则上应该不会有这么多人
[4371.98-4373.30] 有很多人还还跟我请假
[4373.30-4374.62] 说老师我来不了
[4374.62-4376.50] 至少不下有十人请假了
[4376.50-4377.90] 咱们去里真的
[4377.90-4378.66] 我说老师我来不了
[4378.66-4379.98] 特别礼貌啊
[4379.98-4381.90] 特别礼貌
[4381.94-4383.18] 但是我没想到
[4383.18-4384.82] 这家伙人这么多
[4384.82-4386.06] 要不重新设置密码
[4386.06-4387.26] 重新开始吧
[4387.26-4388.42] 没用没用
[4388.42-4390.54] 他们来了听就听吧
[4390.54-4391.66] 他们来了听就听吧
[4391.66-4393.14] 这也不知道又多了一个人
[4393.14-4393.38] 对
[4393.38-4395.50] 我也不知道怎么来这么多人
[4395.50-4397.10] 啊
[4397.10-4397.78] 所以说呢
[4397.78-4399.02] 你们这个里面对
[4399.02-4401.10] 你们也可以对多多支持我啊
[4401.10-4402.98] 这个里面你们也可以多多支持我啊
[4402.98-4403.74] 然后
[4404.98-4406.06] 我们看一下啊
[4406.06-4406.94] 我们看一下
[4406.94-4407.82] 看消息呢
[4407.82-4409.30] 这有个资讯啊
[4409.30-4411.10] 这有一个资讯点开
[4411.10-4413.10] 这个软件里边有个资讯
[4413.10-4414.18] 还有公告
[4414.18-4417.50] 你能看到近期他的信息啊
[4417.50-4419.34] 一定要在看盘的过程当中
[4419.34-4420.94] 看看资讯和公告
[4420.94-4423.02] 看看有没有相关的利空啊
[4423.02-4423.42] 对不对
[4423.42-4425.98] 我刚才退出去了啊
[4425.98-4426.78] 刷信一下啊
[4426.78-4429.78] 刷看看信息和资讯和公告啊
[4429.78-4430.50] 这两边有
[4430.50-4431.34] 但最近呢
[4431.34-4432.62] 也有一些什么呀
[4432.62-4433.58] 评级呀
[4433.58-4434.82] 券上的评级呀
[4434.82-4435.74] 等等的来看一看
[4435.74-4437.06] 都是好的方向啊
[4437.06-4438.46] 没有什么利空就行
[4438.46-4440.26] 公告里边的研究
[4440.34-4441.66] 近期有没有利空啊
[4441.66-4442.42] 没有
[4442.42-4444.26] 再看看F10呢
[4444.26-4445.46] 有没有解禁呢
[4445.46-4446.58] 也要看一看
[4446.58-4447.14] 也要看一看
[4447.14-4447.62] 没有用的
[4447.62-4449.38] 主要是内部人泄露出去的
[4449.38-4450.86] 应该是内部人泄露的啊
[4450.86-4452.06] 因为外部
[4452.06-4454.06] 不知道咱们的密码是什么啊
[4454.06-4455.02] 咱们各个群
[4455.02-4455.74] 那么多人
[4455.74-4456.50] 两千人
[4456.50-4457.62] 如果都泄露的话
[4457.62-4458.22] 那完蛋了
[4458.22-4459.78] 咱买什么都不对啊
[4459.78-4461.78] 有很多人都听着呢啊
[4463.34-4464.34] 还有这个公司的
[4464.34-4465.06] 这个什么呀
[4465.06-4466.50] 操盘必读里边
[4466.50-4467.58] 操盘必读里边
[4467.58-4468.58] 看看有没有解禁的
[4468.58-4469.10] 你看
[4469.10-4470.70] 它的解禁时间是在二零二年
[4470.70-4471.86] 二月四号
[4471.86-4473.22] 有一个最大的解禁
[4473.22-4476.38] 达到了百分之一百二十点五三
[4476.38-4477.90] 是定向增发的
[4477.90-4479.82] 离咱们解禁的周期还挺远的
[4483.69-4484.37] 对
[4484.37-4484.85] 所以说
[4486.13-4487.25] 离这个还挺远的
[4487.25-4488.25] 所以说就看盘过来
[4488.25-4489.25] 看看有没有解禁
[4489.25-4491.21] 简单的看看操盘必读
[4491.21-4492.29] 我们时间还长着呢
[4492.29-4492.77] 不用
[4492.77-4493.97] 它不是用一天的时间
[4493.97-4495.25] 能给大家讲清楚的
[4495.25-4496.89] 解禁是利好是利空呢
[4496.89-4498.09] 解禁一般情况下
[4498.09-4498.97] 视为利空
[4500.01-4501.49] 解禁一般情况下
[4501.49-4502.77] 视为利空
[4504.21-4505.61] 被看作是利空
[4506.69-4507.89] 解禁是啥意思呢
[4507.89-4509.05] 就是之前呀
[4509.05-4510.89] 他有很多的定向增发呀
[4510.89-4512.17] 股权激励呀
[4512.17-4512.81] 是吧
[4512.81-4514.53] 等等的增发
[4514.53-4518.09] 一般情况下就视为这个定向增发
[4518.09-4519.57] 到了日子之后呢
[4519.57-4521.13] 他可以流通了
[4521.13-4521.85] 以前呢
[4521.85-4523.09] 他是不能流通
[4523.09-4524.45] 现在的他能流通了
[4524.45-4525.73] 以前他是能
[4525.73-4526.81] 他以前他买了之后
[4526.81-4529.33] 就好比你想买这家公司
[4529.33-4530.41] 你给定格了
[4530.41-4531.57] 就是你出不去了
[4531.57-4533.85] 我规定你在一年之内不许卖
[4533.85-4535.65] 现在的一年终于到期了
[4535.65-4536.61] 你终于可以卖了
[4536.61-4537.53] 就是这意思
[4537.53-4538.73] 能明白了吧
[4538.73-4540.85] 我们的这个真真同学
[4540.85-4542.81] 真真同学能明白了吗
[4542.81-4545.33] 就是这个解禁就是终于解封了
[4545.33-4546.69] 他可以上市交易了
[4546.69-4548.41] 如果说一下上市交易了
[4548.41-4549.89] 会不会形成抛压呢
[4549.89-4552.25] 就对在在这个市场当中
[4552.25-4553.37] 就是这意思
[4553.37-4560.01] 就是这个意思
[4560.01-4561.33] 就是这个意思
[4561.33-4562.53] 能理解了吗
[4562.53-4567.10] 能不当理解
[4567.10-4568.06] 嘿又来人了
[4568.06-4568.86] 我的天
[4568.86-4570.74] 352了
[4570.74-4574.82] 咱们哪来这么多人了
[4574.82-4576.14] 解禁就是解餐了
[4576.14-4577.58] 就是放洪水了
[4577.58-4578.86] 以前呢
[4578.86-4579.86] 我们有这个洪水
[4579.86-4582.02] 没有些没有泄渣啊
[4582.02-4583.42] 都在门口等着呢
[4583.42-4585.50] 现在一泄渣的大水就来了
[4585.50-4587.74] 就可能会对股价形成抛压
[4587.74-4589.90] 现在离明年还远着呢
[4589.90-4590.78] 还远着呢
[4590.78-4592.10] 就这意思啊
[4592.10-4592.70] 所以说
[4592.70-4595.06] 从技术面也没什么太大的问题啊
[4595.06-4597.38] 也没什么技术面是有支撑的
[4597.38-4598.86] 军线是属于有支撑的
[4598.86-4600.30] 然后基本面也没太大问题
[4600.30-4601.62] 也没有什么太大解禁
[4601.62-4602.02] 然后呢
[4602.02-4603.98] 这个位置呢
[4603.98-4605.54] 就是一个相对年限
[4605.54-4607.82] 比较年限附近的一个位置
[4607.82-4609.42] 就是二十日军线的附近
[4609.42-4611.26] 年限二都是强支撑
[4611.26-4613.62] 一个股票年限有强支撑
[4613.62-4615.58] 二十日军线也有强支撑
[4615.58-4617.22] 基本上啊
[4617.22-4619.94] 就判定为在这个位置会有强支撑
[4619.94-4620.86] 就是这个意思
[4620.86-4621.74] 另外呢
[4621.74-4623.10] 就是还有就是消费
[4623.10-4624.26] 消费股当中
[4624.26-4626.30] 你们所问到的这个双汇啊
[4626.34-4627.14] 双汇的逻辑
[4627.14-4627.78] 我也不讲了
[4627.78-4628.46] 超跌
[4628.46-4630.50] 因为最近要过节了
[4630.50-4631.70] 要过
[4631.70-4634.30] 都已经三百五十二了
[4634.30-4636.02] 不全的呀
[4636.02-4636.58] 到时间了
[4636.58-4637.70] 不讲了
[4637.70-4639.02] 到时候叫你们双汇啊
[4639.02-4641.66] 也是这个双节的这个
[4641.66-4642.22] 好
[4642.22-4643.26] 这个技能是吧
[4643.26-4644.30] 我们下课吧
[4644.30-4645.10] 我就讲了
[4645.10-4646.50] 老师早点下课
[4646.50-4647.74] 讲不完啊
[4647.74-4648.78] 一时半会讲不完
[4648.78-4649.58] 好多东西呢
[4649.58-4651.38] 你们要学的啊
[4651.38-4651.62] 好了
[4651.62-4652.66] 不讲了
[4652.66-4654.06] 讲一个小本身每天
[4654.10-4656.90] 一小时竟然超了十四分钟
[4656.90-4658.30] 所以大家都是我的家人
[4658.30-4659.74] 你们都是我的朋友
[4659.74-4660.46] 不是我的家人
[4660.46-4661.50] 都是我的朋友
[4661.50-4661.90] 我们呢
[4661.90-4662.86] 慢慢的来
[4662.86-4664.18] 因为咱们时间还长着呢
[4664.18-4665.30] 在一年的时间
[4665.30-4666.30] 慢慢的来
[4666.30-4667.78] 我不知道为什么
[4667.78-4669.66] 咱们直播间一下来这么多人
[4669.66-4670.10] 怎么来的
[4670.10-4670.66] 我都不知道
[4672.90-4674.22] 咱们都自觉一下啊
[4674.22-4675.90] 都要自觉一下
[4675.90-4676.14] 对
[4677.34-4677.74] 哎呀
[4679.02-4679.74] 确定是啊
[4679.74-4680.90] 大家下课吧
[4680.90-4682.26] 还有一年
[4682.26-4683.82] 已经长着呢
[4683.82-4684.18] 对
[4684.18-4688.00] 可不是一下能吃个胖子的啊
[4688.00-4688.52] 下吧
[4690.24-4690.80] 我也下了
